effects1,effects2
1.219150994,1.3283095717
0.7419470898,0.9852514754
1.0926930562,0.7891339188
0.3195544081,0.9426348879
0.2498194067,0.2028191956
0.6472737506,0.8686857816
0.6440773782,0.8493308453
0.6240511194,0.9435715741
0.3909801417,0.5197847967
0.8301540068,0.6800318926
0.4127066336,0.2805750002
0.9612417201,0.7939418921
1.5591622188,0.9222819798
0.8898704899,0.8031034517
0.5194471091,0.4329976497
0.3740012069,0.448502871
0.8109565997,0.9079957192
0.4685840501,0.7238369191
0.6495212706,1.1440952831
0.6886175209,0.7009805038
1.1045027138,1.1125381396
0.316990541,0.6158135204
0.4076267561,0.4193965436
0.6247011149,0.6010332795
0.5724963846,0.3223516272
0.4471254815,0.8265981867
1.0906219134,0.7135790371
0.3545294584,0.2053837509
1.0150732688,0.8787309471
0.2685105627,0.3676996516
1.1903485256,1.625542178
0.8494451795,1.0855862286
0.5503892847,0.9955111869
0.7382736609,0.5949302974
0.5229194986,0.7679104602
0.6244547522,0.8445589891
0.5090171289,0.5154491991
0.3162537308,0.7306102606
0.4680987818,0.3755309882
0.4780797987,0.5024027076
1.4218926154,0.8944538778
0.6091354369,1.1718548625
0.3121394229,0.6633138524
0.2992479218,0.5891925137
0.1460452856,0.5068200305
0.7294484814,1.1199991428
0.8073425463,0.5048100216
0.5055425486,0.4175179322
0.3090488959,0.7535054914
0.4009926035,0.9115273249
0.596156983,0.5530888454
0.8603268873,1.0402926315
0.7099394197,1.399525842
0.3271777577,0.3345343696
0.8594480689,1.0421450233
0.2760294852,0.802892025
0.9853113832,0.9658043937
0.6364262591,0.1598559394
0.553758395,1.1580548966
0.7812399428,1.1830835366
0.3419249676,0.5066880277
0.500951,0.7763533763
1.1554987465,1.2846233447
0.6247278719,0.6986790214
0.5506162746,0.4665816527
0.8005505521,0.5739046291
0.6867610624,0.501091384
0.4053261182,0.8588348034
0.2903842132,0.0481721095
0.7411179295,0.5109731696
0.42533065,0.7150861475
0.8191601469,1.0257921709
0.7169657313,0.6229378472
0.7333862197,0.9240008839
0.6812392438,0.8024729455
0.5093179049,0.4383378785
0.5789830659,0.4220414942
0.4026789501,0.3683011854
0.5641414473,0.4950398892
0.5086462894,0.2165260431
0.4535702722,0.8173245464
0.8166776494,0.3590182781
0.3076738758,0.259697377
0.7004544557,0.5273625561
0.566720769,0.0737213527
0.3789622034,0.6605108641
0.7217640012,0.638410054
0.5133849376,0.4080858499
0.6116393478,0.1882915037
0.6065810002,0.3839428191
0.9534544301,0.3773454542
0.6745346647,0.6759753591
0.5658495066,0.8184576112
0.6256395679,0.615190562
1.2201408724,0.889711564
0.7883192936,0.3696563379
0.3826220818,0.5700684672
0.4409283514,0.6102845351
0.8118478726,0.4481871583
1.117777189,1.0434769083
0.5110955545,0.7364289475
0.8607949532,0.7273410309
0.8345398967,1.027561319
0.1080963411,0.5914364067
1.0535352956,0.6559472065
0.8685802501,0.4434079724
0.6939704178,1.0383056674
0.0933762924,0.0203539641
0.8869425089,0.7311132318
0.8944449172,0.6081516575
0.5906081212,0.0979237136
1.2742242436,0.95203233
0.5122297959,0.1840285711
0.3779737678,0.3431121009
0.435795777,0.5131872198
0.7261192288,0.5010329735
0.2941865448,0.4616704081
0.8373409905,0.6438839108
0.5422482978,0.4301560058
0.4212118172,0.4430155179
0.7021155944,0.9557956953
0.3528301306,0.6842101289
0.5783639781,0.3421830132
0.6285173967,0.8421728124
0.7469116413,0.7190807064
0.7400163075,0.4431501607
0.3032549809,0.3333518546
0.6492689507,0.7135120796
0.3907254867,0.5127551009
0.5208587082,0.8370486932
