costs1,costs2
1173.757678949,1872.8708302816
1198.1258897634,1817.4145725074
1249.0167253372,1690.7316130337
1298.5626188088,1720.4334857576
1072.2206640414,1609.1504827487
1135.305085612,1582.944785046
1158.9672096645,1592.1736811586
1261.4535099031,1633.2376909636
1041.9159687714,1834.5345656295
1318.7445970753,1613.7891509436
1336.6943238026,1716.1336684071
1057.8060999402,1626.0189661539
1400.0618246182,1715.6079322819
1165.2508408932,1652.4234359583
1042.9320367051,1544.6634104979
1491.0011925271,1720.8878206555
1332.701827301,1645.6268535042
1353.4868223369,1708.7903027304
1584.5478845477,1724.9158509272
1310.5644457635,1678.2457984042
1183.752760176,1644.8252791377
1209.2298670619,1696.7711875301
1084.527829725,1594.8402358301
1562.8671629339,1818.5711337325
1311.3173881004,1674.32273858
1187.2781980911,1817.2858166018
1311.7220155914,1654.9495921772
1160.774190094,1791.4201700074
1153.4690425638,1727.6328262697
1095.6893671615,1629.328224566
1322.6154107146,1734.6034987886
1347.3345353389,1697.6342086245
1237.5422034416,1611.9759747915
1154.6114965596,1680.0432710035
1080.8817913293,1595.1683074014
1277.071557509,1720.5872149968
1382.9990365485,1782.2770173352
1175.5300251602,1624.7064431447
1353.8881163477,1699.6314442398
1052.5275425769,1535.0806677536
1061.0601199505,1710.2655296165
1120.4852585844,1810.5216643021
1275.8291232776,1650.5248097061
1280.4158481143,1738.2791935794
1009.2046195622,1510.0591841301
1090.9182421266,1711.0004360029
1438.2520287056,1760.4977730723
1135.980895627,1676.6943462928
1153.1490733715,1786.8149140328
1101.5807876171,1685.9666669945
1228.7137145223,2028.4939881132
1087.7865633124,1625.0732587833
1063.7881134389,1530.9046863215
1138.8887656464,1676.4913715964
1488.7594216763,1760.4983300663
1132.6948881823,1645.0138308332
1441.0529180759,1743.2561577437
1569.0435989514,1692.7822616913
1210.0858425644,1762.7229873383
1270.2398796902,1597.6998536248
1177.0791375083,1567.6301444244
1306.3607377088,1844.6463442231
1058.4260059404,1565.6456335804
1226.4226118987,1640.3955650786
1255.0705135859,1676.3851424142
980.2941001438,1469.201933236
1054.1924453496,1552.9919770152
1370.3808072536,1818.1702219585
1208.4274740075,1644.4559868914
1302.5305835053,1737.7799518259
1148.0486219914,1957.5819958833
1374.2460786272,1994.6322603727
1456.6059233358,1753.0066766893
1238.7534052244,1681.7174494765
1430.8117744812,1610.5063854683
1278.5816921621,1800.1834554782
1165.8376292868,1722.174487068
1065.1341428602,1603.0683498157
1174.3806274275,1612.7213990926
1006.1761574941,1508.668602493
1263.8117208068,1618.7471146117
963.8946554017,1427.343487987
1421.0187537596,2127.5669549853
1191.7108642084,1623.1391423495
1101.9304002065,1583.2328719931
1204.5909375521,1618.886158343
1387.2747780068,1681.8084125108
1326.3966025618,1656.9650786614
1148.7167069838,1767.0459671106
1061.5487523204,1619.7252020749
1077.1077445085,1580.6626413866
1154.6651467765,1668.8917341143
1298.8247562153,1707.6790539262
1157.4822245346,1614.7903075406
1244.8856764235,1718.6752393724
1106.5098239903,1601.8359434633
1076.5414773665,1658.3248415512
1189.8538604175,1675.5418162292
988.1778139758,1719.3673864579
1220.0335852498,1757.4233627885
1419.3495595234,1838.5831369658
1077.4137924116,1799.5783243816
1281.2665498184,1658.8956716268
1085.2238778854,1634.6512916121
1160.8208955371,1641.2857423094
1317.2849480258,1878.5855871703
1189.9133833553,1630.9942540939
980.0230178987,1480.4807928815
1252.6244052349,1691.1260815065
1008.8614003113,1511.3696987588
1089.6808465475,1613.4621282715
1196.8613523253,1829.2043357775
1165.1391045223,1816.6369507585
1382.031431105,1750.0899093179
